[2026-04-08 11:27:57.427] [INFO] [mpc_sim] SimulationLogger initialized. Log file: logs\simulation_20260408_112757.log
[2026-04-08 11:28:06.468] [INFO] [mpc_sim] k=27 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:28:08.511] [INFO] [mpc_sim] k=33 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:28:10.453] [INFO] [mpc_sim] k=39 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:28:11.491] [INFO] [mpc_sim] k=42 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:28:12.706] [INFO] [mpc_sim] k=45 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:28:14.789] [INFO] [mpc_sim] k=51 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:28:17.001] [INFO] [mpc_sim] k=57 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:28:19.236] [INFO] [mpc_sim] k=63 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:28:21.406] [INFO] [mpc_sim] k=69 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:28:23.618] [INFO] [mpc_sim] k=75 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:28:25.484] [INFO] [mpc_sim] k=81 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:28:27.426] [INFO] [mpc_sim] k=87 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:28:29.600] [INFO] [mpc_sim] k=93 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:28:37.076] [INFO] [mpc_sim] k=120 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:28:38.820] [INFO] [mpc_sim] k=129 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:28:39.486] [INFO] [mpc_sim] k=132 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:28:40.263] [INFO] [mpc_sim] k=135 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:29:02.388] [INFO] [mpc_sim] k=237 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:29:05.078] [INFO] [mpc_sim] k=258 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:29:06.538] [INFO] [mpc_sim] k=264 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:29:08.380] [INFO] [mpc_sim] k=270 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:19.263] [INFO] [mpc_sim] k=573 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:21.387] [INFO] [mpc_sim] k=579 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:23.265] [INFO] [mpc_sim] k=585 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:25.055] [INFO] [mpc_sim] k=591 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:26.941] [INFO] [mpc_sim] k=597 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:27.569] [INFO] [mpc_sim] k=600 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:28.620] [INFO] [mpc_sim] k=603 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:30.539] [INFO] [mpc_sim] k=609 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:31.238] [INFO] [mpc_sim] k=612 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:32.215] [INFO] [mpc_sim] k=615 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:34.207] [INFO] [mpc_sim] k=621 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:34.807] [INFO] [mpc_sim] k=624 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:36.008] [INFO] [mpc_sim] k=627 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:37.039] [INFO] [mpc_sim] k=630 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:38.105] [INFO] [mpc_sim] k=633 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:39.127] [INFO] [mpc_sim] k=636 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:40.198] [INFO] [mpc_sim] k=639 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:41.170] [INFO] [mpc_sim] k=642 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:42.174] [INFO] [mpc_sim] k=645 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:43.301] [INFO] [mpc_sim] k=648 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:44.245] [INFO] [mpc_sim] k=651 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:45.397] [INFO] [mpc_sim] k=654 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:46.229] [INFO] [mpc_sim] k=657 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:46.743] [INFO] [mpc_sim] k=660 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:47.928] [INFO] [mpc_sim] k=663 | Constraint: slack_activated | reason=feasibility
[2026-04-08 11:30:48.828] [INFO] [mpc_sim] k=666 | Constraint: slack_activated | reason=feasibility
