timestep,v,omega,controller,solve_time_ms
0,0.0,-0.0037503125209392696,MPC,169.9743999633938
1,0.22288009333911313,-0.011247579682876988,MPC,193.34040000103414
2,0.424099696197418,-0.018748398731924177,MPC,157.80169994104654
3,0.6058042933686218,-0.02625694602892482,MPC,169.5468999678269
4,0.7697963673227202,-0.03377749841569823,MPC,158.65769993979484
5,0.9175906416457815,-0.04131485319022676,MPC,149.26909992937
6,1.0504608975320462,-0.04887471593367054,MPC,95.15010006725788
7,1.16947964528274,-0.05646402345247796,MPC,233.81300002802163
8,1.2755517369145928,-0.06409117908288357,MPC,161.29359998740256
9,1.3694428400118344,-0.0717661862525184,MPC,156.11590002663434
10,1.4518035523068828,-0.07950067394390424,MPC,98.29549991991371
11,1.5231898172846075,-0.087307814790304,MPC,192.57870002184063
12,1.5840802001025085,-0.09520214300618754,MPC,217.65989996492863
13,1.6348904975350105,-0.10319928512096598,MPC,119.17140008881688
14,1.6454034605222652,-0.10226937783799814,MPC,178.5838999785483
15,1.6011739252777788,-0.08428491034014539,MPC,169.2996999481693
16,1.5588347154107085,-0.06406697139523919,MPC,153.28169998247176
17,1.5165404981849382,-0.041167195800669645,MPC,120.56700000539422
18,1.4726467019975966,-0.0148361766076828,MPC,182.0686999708414
19,1.425647096701745,0.016127627054227656,MPC,164.58440001588315
20,1.3741174656476092,0.053625175798737656,MPC,143.67789996322244
21,1.3166686504924057,0.1006616988943802,MPC,173.4458999708295
22,1.2244307534982222,0.16194322837588654,MPC,206.4194999402389
23,1.0941505521359307,0.24442833459937852,MPC,205.5683999788016
24,0.9354170121032411,0.3603348265329127,MPC,231.50700004771352
25,0.7446974021598176,0.5315225754634249,MPC,132.04810000024736
26,0.5320763829782166,0.8740164835719515,MPC,213.28439994249493
27,0.32963928158274725,1.5192233509323714,MPC,184.8053999710828
28,0.07099958248895688,2.658118594034076,MPC,121.34720000904053
29,1.4028974809824617,-0.34486515365016895,MPC,205.685899942182
30,1.3949880721971173,-0.3553922099578631,MPC,216.53460001107305
31,1.3867153806282826,-0.3662338449875438,MPC,151.39910008292645
32,1.3780871967316475,-0.3774055447811423,MPC,170.15070002526045
33,1.3691116286377207,-0.3889233369959817,MPC,187.9654999356717
34,1.3597971075414637,-0.4008038001620551,MPC,102.31880005449057
35,1.3501523935007125,-0.4130640696619867,MPC,105.3039999678731
36,1.3401865816643848,-0.425721839718635,MPC,101.13600001204759
37,1.3299091089506891,-0.4387953605607735,MPC,103.46999997273088
38,1.3193297611943335,-0.45230342980751526,MPC,110.20440002903342
39,1.3084586807799798,-0.4662653769662811,MPC,182.20460007432848
40,1.2973063747767821,-0.4807010397752374,MPC,213.30820000730455
41,1.2858837235856866,-0.4956307309388737,MPC,229.42550003062934
42,1.2742019901070774,-0.5110751936028822,MPC,139.72840004134923
43,1.2622728294311554,-0.5270555436919662,MPC,124.60730003658682
44,1.250108299046972,-0.5435931969909227,MPC,159.72210001200438
45,1.2377208695580482,-0.560709778586937,MPC,239.97660004533827
46,1.2251234358827348,-0.578427012009791,MPC,243.07209998369217
47,1.2123293289056778,-0.5967665851117563,MPC,269.1700999857858
48,1.1993523275325324,-0.6157499894230496,MPC,168.12469996511936
49,1.186206671083188,-0.6353983294115666,MPC,110.18730001524091
50,1.1729070719387136,-0.6557320977751967,MPC,180.46920001506805
51,1.1594687283337257,-0.6767709126168759,MPC,137.5226000091061
52,1.1459073371583832,-0.6985332121151042,MPC,156.36309992987663
53,1.132239106602345,-0.7210359021284453,MPC,117.50240006949753
54,1.1184807684363576,-0.744293952093238,MPC,112.3788000550121
55,1.1046495896852067,-0.7683199346271897,MPC,107.77469992171973
56,1.0907633833982717,-0.7931235044812641,MPC,160.0213999627158
57,1.0768405181705913,-0.8187108129457346,MPC,282.3511000024155
58,1.0628999260080385,-0.8450838545761479,MPC,227.78069996275008
59,1.048961108065034,-0.872239744232422,MPC,221.78340004757047
60,1.0350441377125654,-0.9001699240027969,MPC,152.4615999078378
61,1.0211696603188316,-0.9288593016959354,MPC,242.89110000245273
62,1.007358889045862,-0.9582853253163217,MPC,242.8534000646323
63,0.9936335958847291,-0.9884170013710263,MPC,270.6353000830859
64,0.9800160970720221,-1.0192138690518666,MPC,195.46969991642982
65,0.9665292319544543,-1.0506249473366631,MPC,160.18840007018298
66,0.9531963343011276,-1.0825876778462318,MPC,180.82090001553297
67,0.9400411950094798,-1.1150268928156886,MPC,143.57930002734065
68,0.9270880151177335,-1.147853844632053,MPC,230.98390002269298
69,0.9143613480313094,-1.1809653408005691,MPC,244.14480000268668
70,1.5400992463630532,-1.9412939104383176,MPC,98.13520009629428
71,1.4294047005883166,-1.8769161191687036,MPC,198.79080005921423
72,1.3346827463753377,-1.824483239828779,MPC,114.76410005707294
73,1.2536415720715863,-1.782392280066129,MPC,162.82710002269596
74,1.184310145177819,-1.749185450053084,MPC,189.70770004671067
75,1.1250000578655044,-1.723536277156196,MPC,158.86989992577583
76,1.074269094477179,-1.7042367723449177,MPC,94.20670010149479
77,1.0308877114726855,-1.6901859584046546,MPC,168.9225999871269
78,0.9938089419255883,-1.680379938233294,MPC,151.28320001531392
79,0.9621418294184036,-1.6739035732789542,MPC,164.20350002590567
80,0.9351282634966043,-1.6699237525961694,MPC,181.0962000163272
81,0.9121229661529944,-1.667684158128513,MPC,242.61229997500777
82,0.8925763236933638,-1.6665013692389552,MPC,179.40869997255504
83,0.8760197433635974,-1.6657620983555255,MPC,147.7091999258846
84,0.8620532219083664,-1.6649213103296931,MPC,152.84740005154163
85,0.8503348330007633,-1.6635009520395039,MPC,161.90990002360195
86,0.84057186574568,-1.6610890075280889,MPC,145.85560001432896
87,0.8325133734811254,-1.6573385988689615,MPC,154.10370007157326
88,0.8259439188614739,-1.6519668744500964,MPC,164.1572000226006
89,0.8206783267205058,-1.6447534636605434,MPC,161.63280000910163
90,0.816557280081065,-1.635538327755666,MPC,103.82309998385608
91,0.8134436168013089,-1.624218897263822,MPC,159.58550001960248
92,0.8112192047436296,-1.6107464518635874,MPC,82.37289998214692
93,0.8097822920603859,-1.595121763819557,MPC,221.0059999488294
94,0.8090452462246867,-1.5773900854900147,MPC,131.59259990788996
95,0.8089326107745971,-1.5576356105092823,MPC,121.17790000047535
96,0.8093794223441759,-1.5359755736410547,MPC,171.98510002344847
97,0.8103297423858876,-1.5125541742315598,MPC,105.00219999812543
98,0.8117353680332493,-1.4875365125568314,MPC,84.08230007626116
99,0.8135546948412102,-1.461102718586085,MPC,111.27919994760305
100,0.815751710759936,-1.4334424313649774,MPC,106.46040004212409
101,0.8182951057832556,-1.4047497576862347,MPC,182.18770006205887
102,0.8211574854486913,-1.3752188045305869,MPC,188.25769994873554
103,0.8243146789640297,-1.3450398443144669,MPC,127.10250006057322
104,0.8277451344208708,-1.3143961381587648,MPC,133.89930000994354
105,0.831429394549933,-1.283461412375098,MPC,168.5608000261709
106,0.835349646979843,-1.2523979585612162,MPC,103.1740999314934
107,0.839489343156445,-1.2213553087799913,MPC,139.12270008586347
108,0.843832880106416,-1.1904694243127067,MPC,152.07070007454604
109,0.8483653391952322,-1.159862328996564,MPC,83.97210005205125
110,0.853072276010519,-1.1296421154339082,MPC,95.75219999533147
111,0.8579395555443058,-1.0999032534822095,MPC,139.26900003571063
112,0.8629532269744468,-1.0707271344455969,MPC,127.15130008291453
113,0.8680994325619888,-1.0421827903799312,MPC,89.62240000255406
