timestep,px,py,theta,px_ref,py_ref,theta_ref,error_px,error_py,error_theta,error_norm
0,0.0,0.0,0.7853981633974483,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,0.0
1,0.0014395242185881061,0.0014395242185881061,0.785195688873225,0.01999966666833333,0.01999866669333308,0.7853231571470295,-0.018560142449745222,-0.018559142474744973,-0.00012746827380449854,0.02624760761123848
2,0.0028793398746481684,0.002878756940689618,0.7849932143490017,0.03999733338666616,0.03998933418663416,0.7850980633706443,-0.03711799351201799,-0.03711057724594454,-0.00010484902164253906,0.05248763072575067
3,0.004319446909153601,0.004317698107301848,0.7847907398247784,0.05999100040499132,0.0599640064794446,0.7847226568420766,-0.05567155349583772,-0.05564630837214275,6.808298270177815e-05,0.07871364646222444
4,0.01824902470901854,0.018230363870030877,0.7841083274202971,0.07997866837326832,0.07991469396917268,0.7841965616812204,-0.06172964366424978,-0.0616843300991418,-8.823426092330333e-05,0.08726690822975193
5,0.03218809344043312,0.032133520677346365,0.7834259150158158,0.09995833854135666,0.09983341664682815,0.7835192505983565,-0.06777024510092354,-0.06769989596948178,-9.333558254065455e-05,0.09579191378633624
6,0.04613664661215881,0.04602716205473349,0.7827435026113345,0.11992801295888919,0.11971220728891936,0.7826900438339384,-0.07379136634673038,-0.07368504523418587,5.345877739615368e-05,0.1042816114965734
7,0.06613642530024691,0.06592103637778071,0.7816006297564988,0.13988569467506554,0.1395431146442365,0.7817081077917023,-0.07374926937481863,-0.07362207826645578,-0.00010747803520350097,0.10420737350648347
8,0.08615892709088915,0.08579204050936472,0.7804577569016631,0.1598293879383454,0.15931820661424598,0.7805724533623122,-0.07367046084745624,-0.07352616610488126,-0.00011469646064909966,0.10408384629152238
9,0.10620412583153024,0.10564014849481011,0.7793148840468274,0.17975709839602208,0.17902957342582415,0.7792819339341677,-0.07355297256449184,-0.07338942493101404,3.2950112659690944e-05,0.10390403529453396
10,0.129186886194768,0.12834497507537201,0.7777039595714363,0.1996668332936563,0.19866933079506124,0.7778352430874435,-0.0704799470988883,-0.07032435571968923,-0.00013128351600710797,0.09956382468453619
11,0.15220619248201683,0.15101274872037806,0.7760930350960453,0.21955660167434962,0.21822962308086932,0.7762309119668949,-0.06735040919233279,-0.06721687436049126,-0.00013787687084954037,0.09515358546686639
12,0.175261984956402,0.17364341060520785,0.7744821106206543,0.23942441457783872,0.23770262642713458,0.7744673063284713,-0.06416242962143673,-0.06405921582192672,1.4804292183034917e-05,0.09066642557095253
13,0.19926466785782193,0.1971277025918527,0.7725412553364382,0.2592682852393897,0.2570805518921551,0.7725426232543283,-0.060003617381567786,-0.059952849300302424,-1.3679178900716238e-06,0.08482203864544613
14,0.22331288513475467,0.2205653646420987,0.7706004000522222,0.279086229288473,0.27635564856411376,0.7704548875304338,-0.05577334415371832,-0.05579028392201507,0.00014551252178840457,0.07888753305866622
15,0.24740654619953645,0.24395630846819355,0.7686595447680061,0.29887626494719843,0.29552020666133955,0.7682019476806334,-0.051469718747661986,-0.051563898193145996,0.00045759708737269644,0.07285723670254675
16,0.26095532555290224,0.2570589383776091,0.766234492767287,0.31863641322849195,0.31456656061611776,0.765781471650788,-0.057681087675589715,-0.05750762223850864,0.0004530211164989195,0.08145207007251612
17,0.27453583959466654,0.2701286732972908,0.7638094407665678,0.33836469813399206,0.33348709214081446,0.7631909421364422,-0.06382885853932552,-0.06335841884352367,0.0006184986301255302,0.08993772824204573
18,0.28814800845953303,0.28316543636577,0.7613843887658486,0.35805914685164836,0.35227423327509,0.760427651547437,-0.06991113839211532,-0.06910879690931998,0.0009567372184116074,0.09830823173895577
19,0.3155389418093679,0.3092714588784025,0.759572782282511,0.37771778995300115,0.3709204694129827,0.7574886966029721,-0.062178848143633225,-0.06164901053458016,0.002084085679538883,0.0875851189956458
20,0.3429771240255848,0.33532781698683456,0.7577611757991735,0.39733866159012243,0.38941834230865047,0.7543709725508718,-0.054361537564537654,-0.05409052532181591,0.0033902032483016376,0.07676232913373227
21,0.37046246505834274,0.3613344251762576,0.7559495693158359,0.4169197996921991,0.40776045305957015,0.7510711670052485,-0.04645733463385637,-0.04642602788331257,0.0048784023105874486,0.06585938669170988
22,0.3902448229802448,0.3799846697064496,0.7537127518861694,0.43645924616173865,0.4259394650659996,0.7475857533974175,-0.046214423181493824,-0.045954795359549994,0.006126998488751867,0.06546110476471871
23,0.4100688485703604,0.3985906180936897,0.7514759344565028,0.4559550470703768,0.44394810696551984,0.7439109840358401,-0.045886198500016406,-0.045357488871830165,0.007564950420662742,0.06496209267263632
24,0.4299344426421486,0.41715217724590353,0.7492391170268363,0.47540525285426916,0.46177917554148284,0.7400428827720981,-0.04547081021212057,-0.04462699829557931,0.009196234254738256,0.06437184386584206
25,0.4402067207746403,0.4267072062379273,0.7465330384598995,0.4948079185090459,0.479425538604203,0.7359772372714972,-0.05460119773440558,-0.05271833236627571,0.01055580118840227,0.07662857365396962
26,0.4505048179235257,0.43623440268713515,0.7438269598929627,0.5141611037843102,0.49688013784373675,0.7317095908888981,-0.06365628586078453,-0.0606457351566016,0.012117369004064571,0.08875166789337113
27,0.46082865867731476,0.4457336968272324,0.7411208813260258,0.5334628733776623,0.5141359916531132,0.7272352341528829,-0.07263421470034753,-0.06840229482588078,0.01388564717314289,0.1007343748677675
28,0.45368659898308206,0.43919766206405,0.737700540969711,0.5527112971282275,0.5311861979208834,0.7225491958644261,-0.09902469814514547,-0.09198853585683342,0.01515134510528493,0.13600494413925013
29,0.44652222564543365,0.4326860937598467,0.7342802006133963,0.5719044502096711,0.5480239367918736,0.7176462338199793,-0.12538222456423742,-0.11533784303202688,0.016633966793417,0.1711730385406587
30,0.43933562247834385,0.42619906809161573,0.7308598602570815,0.5910404133226791,0.5646424733950353,0.712520825173375,-0.15170479084433525,-0.13844340530341953,0.01833903508370649,0.20619709077708107
