timestep,px,py,theta,px_ref,py_ref,theta_ref,error_px,error_py,error_theta,error_norm
0,0.0,0.0,0.7853981633974483,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,0.0
1,0.013245856267102982,0.013245856267102982,0.7852217187750986,0.01999966666833333,0.01999866669333308,0.7853231571470295,-0.0067538104012303465,-0.006752810426230098,-0.00010143837193088423,0.009551161883858378
2,0.02649404948811092,0.02648937516792168,0.7850452741527489,0.03999733338666616,0.03998933418663416,0.7850980633706443,-0.013503283898555242,-0.013499959018712482,-5.2789217895310436e-05,0.019094249297980367
3,0.039744579250571725,0.03973055629014953,0.7848688295303993,0.05999100040499132,0.0599640064794446,0.7847226568420766,-0.020246421154419596,-0.020233450189295073,0.0001461726883226211,0.02862396622726532
4,0.052997445141960565,0.05296939922155275,0.7846923849080496,0.07997866837326832,0.07991469396917268,0.7841965616812204,-0.026981223231307756,-0.026945294747619933,0.0004958232268291729,0.03813503843928886
5,0.06625264674967989,0.06620590354997034,0.7845159402856999,0.09995833854135666,0.09983341664682815,0.7835192505983565,-0.033705691791676776,-0.03362751309685781,0.000996689687343455,0.047622228912218165
6,0.085592050698931,0.08551121422998346,0.7833843207020211,0.11992801295888919,0.11971220728891936,0.7826900438339384,-0.03433596225995819,-0.0342009930589359,0.000694276868082766,0.04846801265684627
7,0.10495328852849392,0.10479462770559093,0.7822527011183423,0.13988569467506554,0.1395431146442365,0.7817081077917023,-0.034932406146571615,-0.03474848693864556,0.0005445933266400305,0.049275013197417575
8,0.12433633544508879,0.12405611928317185,0.7811210815346635,0.1598293879383454,0.15931820661424598,0.7805724533623122,-0.0354930524932566,-0.035262087331074124,0.0005486281723513509,0.05003471366066627
9,0.14374116662750783,0.1432956642971777,0.7799894619509847,0.17975709839602208,0.17902957342582415,0.7792819339341677,-0.03601593176851425,-0.03573390912864646,0.0007075280168170606,0.05074012414907179
10,0.16316775722664711,0.16251323811016383,0.7788578423673059,0.1996668332936563,0.19866933079506124,0.7778352430874435,-0.036499076067009195,-0.03615609268489742,0.0010225992798624794,0.0513857110612609
11,0.18296336609774358,0.1820515866045211,0.7770381695896255,0.21955660167434962,0.21822962308086932,0.7762309119668949,-0.03659323557660604,-0.036178036476348235,0.000807257622730595,0.05146422911225258
