timestep,v,omega,controller,solve_time_ms
0,0.10178973366459157,-0.010123726211165404,MPC,1040.8656999934465
1,0.10178973366459157,-0.010123726211165404,MPC,1040.8656999934465
2,0.10178973366459157,-0.010123726211165404,MPC,1040.8656999934465
3,0.9843721429265238,-0.034120620224067325,MPC,720.6566999957431
4,0.9843721429265238,-0.034120620224067325,MPC,720.6566999957431
5,0.9843721429265238,-0.034120620224067325,MPC,720.6566999957431
6,1.410458598429692,-0.05714364274178689,MPC,882.615899987286
7,1.410458598429692,-0.05714364274178689,MPC,882.615899987286
8,1.410458598429692,-0.05714364274178689,MPC,882.615899987286
9,1.6153300157919765,-0.0805462237695526,MPC,937.6220999984071
10,1.6153300157919765,-0.0805462237695526,MPC,937.6220999984071
11,1.6153300157919765,-0.0805462237695526,MPC,937.6220999984071
12,1.6790181331511191,-0.09704276421080547,MPC,875.6427000043914
13,1.6790181331511191,-0.09704276421080547,MPC,875.6427000043914
14,1.6790181331511191,-0.09704276421080547,MPC,875.6427000043914
15,0.9424016294941657,-0.12125260003595678,MPC,460.38050000788644
16,0.9424016294941657,-0.12125260003595678,MPC,460.38050000788644
17,0.9424016294941657,-0.12125260003595678,MPC,460.38050000788644
18,1.891948493752652,-0.09058032416687656,MPC,868.9597999909893
19,1.891948493752652,-0.09058032416687656,MPC,868.9597999909893
20,1.891948493752652,-0.09058032416687656,MPC,868.9597999909893
21,1.3593870916576698,-0.11184087148332403,MPC,1061.3699000095949
22,1.3593870916576698,-0.11184087148332403,MPC,1061.3699000095949
23,1.3593870916576698,-0.11184087148332403,MPC,1061.3699000095949
24,0.7014596871340523,-0.13530392834683946,MPC,1165.543399984017
25,0.7014596871340523,-0.13530392834683946,MPC,1165.543399984017
26,0.7014596871340523,-0.13530392834683946,MPC,1165.543399984017
27,-0.4840680920632765,-0.17101701781573733,MPC,953.162899997551
28,-0.4840680920632765,-0.17101701781573733,MPC,953.162899997551
29,-0.4840680920632765,-0.17101701781573733,MPC,953.162899997551
30,0.6551233269396605,-0.1996525285262318,MPC,1003.83430000511
31,0.6551233269396605,-0.1996525285262318,MPC,1003.83430000511
32,0.6551233269396605,-0.1996525285262318,MPC,1003.83430000511
33,-0.9794621616787207,-0.2845313379987766,MPC,1025.6374000164215
34,-0.9794621616787207,-0.2845313379987766,MPC,1025.6374000164215
35,-0.9794621616787207,-0.2845313379987766,MPC,1025.6374000164215
36,1.2637942081425266,-0.3375659785778711,MPC,1070.6046000123024
37,1.2637942081425266,-0.3375659785778711,MPC,1070.6046000123024
38,1.2637942081425266,-0.3375659785778711,MPC,1070.6046000123024
39,1.9000000000019073,2.850000000000761,MPC,860.4143999982625
40,1.9000000000019073,2.850000000000761,MPC,860.4143999982625
41,1.9000000000019073,2.850000000000761,MPC,860.4143999982625
42,-1.9000000000000183,2.85000000000014,MPC,1031.7309999954887
43,-1.9000000000000183,2.85000000000014,MPC,1031.7309999954887
44,-1.9000000000000183,2.85000000000014,MPC,1031.7309999954887
45,-1.9,-2.8499999999999996,MPC,1208.4527999977581
46,-1.9,-2.8499999999999996,MPC,1208.4527999977581
47,-1.9,-2.8499999999999996,MPC,1208.4527999977581
48,1.5037687993710254,-2.8499999999999996,MPC,962.0469999790657
49,1.5037687993710254,-2.8499999999999996,MPC,962.0469999790657
50,1.5037687993710254,-2.8499999999999996,MPC,962.0469999790657
51,-1.9000000909189603,-1.981208585223884,MPC,1092.837200005306
52,-1.9000000909189603,-1.981208585223884,MPC,1092.837200005306
53,-1.9000000909189603,-1.981208585223884,MPC,1092.837200005306
54,1.9,-1.1439394053496843,MPC,1053.6565000074916
55,1.9,-1.1439394053496843,MPC,1053.6565000074916
56,1.9,-1.1439394053496843,MPC,1053.6565000074916
57,-1.9,-0.8015418008466751,MPC,1145.2380000264384
58,-1.9,-0.8015418008466751,MPC,1145.2380000264384
59,-1.9,-0.8015418008466751,MPC,1145.2380000264384
60,1.9,-0.9550167919302834,MPC,1078.8376999844331
61,1.9,-0.9550167919302834,MPC,1078.8376999844331
62,1.9,-0.9550167919302834,MPC,1078.8376999844331
63,-1.9,-0.9168412207035334,MPC,1144.380000012461
64,-1.9,-0.9168412207035334,MPC,1144.380000012461
