timestep,px,py,theta,px_ref,py_ref,theta_ref,error_px,error_py,error_theta,error_norm
0,0.0,0.0,0.7853981633974483,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,0.0
1,0.000248263657209476,0.000248263657209476,0.7853008207604483,0.01999966666833333,0.01999866669333308,0.7853231571470295,-0.019751403011123853,-0.019750403036123604,-2.2336386581223167e-05,0.027932003864945286
2,0.0004965514798817557,0.0004965031466037039,0.7852034781234483,0.03999733338666616,0.03998933418663416,0.7850980633706443,-0.0395007819067844,-0.03949283104003046,0.00010541475280401169,0.05585701913881413
3,0.0007448634656641658,0.0007447184658304685,0.7851061354864483,0.05999100040499132,0.0599640064794446,0.7847226568420766,-0.059246136939327156,-0.05921928801361413,0.0003834786443716043,0.08376858522706215
4,0.0009931996122038039,0.0009929096125377832,0.7850087928494482,0.07997866837326832,0.07991469396917268,0.7841965616812204,-0.07898546876106452,-0.0789217843566349,0.0008122311682278172,0.11166025273529932
5,0.0012415599171475386,0.0012410765843738909,0.7849114502124482,0.09995833854135666,0.09983341664682815,0.7835192505983565,-0.09871677862420912,-0.09859234006245426,0.0013921996140917603,0.13952558948342492
6,0.015426118040578545,0.015411833800874353,0.7838338007231378,0.11992801295888919,0.11971220728891936,0.7826900438339384,-0.10450189491831065,-0.10430037348804501,0.001143756889199432,0.14764999875071083
7,0.02962593903386681,0.029567296810064918,0.7827561512338274,0.13988569467506554,0.1395431146442365,0.7817081077917023,-0.11025975564119872,-0.10997581783417157,0.0010480434421250573,0.15573372344295994
8,0.04384100640635822,0.04370744917280566,0.7816785017445169,0.1598293879383454,0.15931820661424598,0.7805724533623122,-0.11598838153198718,-0.11561075744144031,0.0011060483822047384,0.16376927437592542
9,0.05807130364969262,0.057832274467737345,0.7806008522552065,0.17975709839602208,0.17902957342582415,0.7792819339341677,-0.12168579474632946,-0.12119729895808681,0.001318918321038809,0.17174969421608663
10,0.07231681423782296,0.0719417562913005,0.779523202765896,0.1996668332936563,0.19866933079506124,0.7778352430874435,-0.12735001905583335,-0.12672757450376076,0.0016879596784525885,0.17966845772423004
11,0.0932096935791557,0.09259057697251845,0.7777320609792203,0.21955660167434962,0.21822962308086932,0.7762309119668949,-0.12634690809519392,-0.12563904610835086,0.0015011490123254534,0.17818800335765844
12,0.11413952435213753,0.11320194244186389,0.7759409191925446,0.23942441457783872,0.23770262642713458,0.7744673063284713,-0.1252848902257012,-0.12450068398527069,0.001473612864073326,0.1766320909872818
13,0.13510623940993563,0.1337757865742006,0.7741497774058689,0.2592682852393897,0.2570805518921551,0.7725426232543283,-0.12416204582945409,-0.1233047653179545,0.0016071541515405574,0.17499389051946387
14,0.15610977148738545,0.15431204336476786,0.7723586356191932,0.279086229288473,0.27635564856411376,0.7704548875304338,-0.12297645780108754,-0.1220436051993459,0.0019037480887593716,0.17326706265225925
15,0.17715005320120655,0.1748106469293922,0.7705674938325174,0.29887626494719843,0.29552020666133955,0.7682019476806334,-0.12172621174599188,-0.12070955973194736,0.0023655461518840015,0.17144580556347044
16,0.20084157764464006,0.19780966854003396,0.7679616661207012,0.31863641322849195,0.31456656061611776,0.765781471650788,-0.1177948355838519,-0.1167568920760838,0.0021801944699131326,0.16586907000830392
17,0.2245929530714208,0.22074687610409216,0.7653558384088849,0.33836469813399206,0.33348709214081446,0.7631909421364422,-0.11377174506257126,-0.1127402160367223,0.0021648962724426513,0.16018443451989947
18,0.24840401820177144,0.24362211387026134,0.7627500106970686,0.35805914685164836,0.35227423327509,0.760427651547437,-0.10965512864987692,-0.10865211940482866,0.0023223591496316365,0.1543856328885628
19,0.2722746113506016,0.26643522650803164,0.7601441829852523,0.37771778995300115,0.3709204694129827,0.7574886966029721,-0.10544317860239955,-0.10448524290495104,0.002655486382280192,0.14846710580667566
20,0.2962045704286057,0.2891860591087437,0.757538355273436,0.39733866159012243,0.38941834230865047,0.7543709725508718,-0.10113409116151673,-0.10023228319990679,0.003167382722564227,0.1424241808958138
21,0.3200271205928438,0.31171687905814305,0.7540446906555393,0.4169197996921991,0.40776045305957015,0.7510711670052485,-0.09689267909935534,-0.0960435740014271,0.002973523650290799,0.13646025506687687
