timestep,px,py,theta,px_ref,py_ref,theta_ref,error_px,error_py,error_theta,error_norm
0,0.0,0.0,0.7853981633974483,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,0.0
1,0.0002813238160132155,0.0002813238160132155,0.7853071762854447,0.01999966666833333,0.01999866669333308,0.7853231571470295,-0.019718342852320114,-0.019717342877319865,-1.598086158483003e-05,0.02788524538840168
2,0.0005626732277034612,0.000562622034020418,0.785216189173441,0.03999733338666616,0.03998933418663416,0.7850980633706443,-0.0394346601589627,-0.039426712152613744,0.00011812580279679796,0.05576353653350213
3,0.0008440482327415425,0.0008438946516928368,0.7851252020614374,0.05999100040499132,0.0599640064794446,0.7847226568420766,-0.05914695217224978,-0.059120111827751766,0.0004025452193607837,0.08362841392999097
4,0.001125448828798053,0.0011251416667019132,0.7850342149494338,0.07997866837326832,0.07991469396917268,0.7841965616812204,-0.07885321954447026,-0.07878955230247077,0.0008376532682133897,0.11147342933430349
5,0.0014068750135433742,0.0014063630767193,0.7849432278374302,0.09995833854135666,0.09983341664682815,0.7835192505983565,-0.09855146352781329,-0.09842705357010885,0.001423977239073726,0.1392921517858935
6,0.027472290722052744,0.027448073399031506,0.7838843652802996,0.11992801295888919,0.11971220728891936,0.7826900438339384,-0.09245572223683644,-0.09226413388988786,0.001194321446361224,0.1306221932923477
7,0.05356526640525409,0.053462169434921214,0.782825502723169,0.13988569467506554,0.1395431146442365,0.7817081077917023,-0.08632042826981146,-0.08608094520931528,0.0011173949314666753,0.12191141880991162
8,0.07968577280796894,0.07944862201764903,0.7817666401660384,0.1598293879383454,0.15931820661424598,0.7805724533623122,-0.08014361513037645,-0.07986958459659695,0.0011941868037261827,0.11315288627304676
9,0.1058337806441517,0.10540740201146911,0.7807077776089077,0.17975709839602208,0.17902957342582415,0.7792819339341677,-0.07392331775187037,-0.07362217141435504,0.0014258436747400793,0.10434037598836543
10,0.13200926059692242,0.13133848031166187,0.7796489150517771,0.1996668332936563,0.19866933079506124,0.7778352430874435,-0.06765757269673389,-0.06733085048339937,0.0018136719643336852,0.09546873821322834
11,0.15531014592325393,0.15437296912969736,0.7778511026032682,0.21955660167434962,0.21822962308086932,0.7762309119668949,-0.0642464557510957,-0.06385665395117196,0.0016201906363733087,0.09059748532997709
12,0.1786524052622891,0.17736553012338133,0.7760532901547592,0.23942441457783872,0.23770262642713458,0.7744673063284713,-0.06077200931554963,-0.06033709630375325,0.00158598382628794,0.08565230674835846
13,0.20203596316884093,0.20031608897779682,0.7742554777062503,0.2592682852393897,0.2570805518921551,0.7725426232543283,-0.05723232207054879,-0.0567644629143583,0.0017128544519219302,0.08062677477064337
14,0.2254607440642401,0.22322457151378322,0.7724576652577413,0.279086229288473,0.27635564856411376,0.7704548875304338,-0.05362548522423288,-0.053131077050330544,0.002002777727307503,0.07551566150599211
15,0.24892667223657933,0.246090903688176,0.7706598528092323,0.29887626494719843,0.29552020666133955,0.7682019476806334,-0.049949592710619106,-0.04942930297316356,0.0024579051285988918,0.0703154257755062
16,0.27286263322991566,0.26933151141085787,0.7680512205935073,0.31863641322849195,0.31456656061611776,0.765781471650788,-0.04577377999857629,-0.04523504920525989,0.002269748942719252,0.06439410199873372
17,0.2968591389109038,0.2925096000097135,0.7654425883777822,0.33836469813399206,0.33348709214081446,0.7631909421364422,-0.04150555922308824,-0.04097749213110097,0.0022516462413399996,0.05836896622839801
18,0.3209160259843263,0.3156250117588193,0.7628339561620572,0.35805914685164836,0.35227423327509,0.760427651547437,-0.03714312086732208,-0.0366492215162707,0.002406304614620214,0.05223568863728628
19,0.3450331307440726,0.338677589358765,0.7602253239463321,0.37771778995300115,0.3709204694129827,0.7574886966029721,-0.032684659208928546,-0.03224288005421766,0.0027366273433599986,0.04599325375542472
20,0.36921028907425346,0.36166717593772424,0.7576166917306071,0.39733866159012243,0.38941834230865047,0.7543709725508718,-0.02812837251586897,-0.027751166370926228,0.0032457191797352625,0.03964678131112311
21,0.3883243397882994,0.3797476423053189,0.754694980967743,0.4169197996921991,0.40776045305957015,0.7510711670052485,-0.028595459903899723,-0.02801281075425127,0.0036238139624945598,0.040193904029141074
22,0.4074911347378982,0.3977721858537384,0.7517732702048789,0.43645924616173865,0.4259394650659996,0.7475857533974175,-0.028968111423840426,-0.028167279212261198,0.004187516807461433,0.0406212062191448
23,0.42671051030785717,0.4157406527184908,0.7488515594420149,0.4559550470703768,0.44394810696551984,0.7439109840358401,-0.029244536762519646,-0.02820745424702903,0.004940575406174763,0.040930583808402955
24,0.44598230243413484,0.4336528895137764,0.7459298486791508,0.47540525285426916,0.46177917554148284,0.7400428827720981,-0.02942295042013432,-0.02812628602770645,0.0058869659070527325,0.04112729440078497
25,0.4653063466052417,0.45150874333379715,0.7430081379162867,0.4948079185090459,0.479425538604203,0.7359772372714972,-0.029501571903804147,-0.02791679527040586,0.007030900644789506,0.04122042899876204
26,0.4569760742897222,0.4438563813893999,0.7416043959566594,0.5141611037843102,0.49688013784373675,0.7317095908888981,-0.057185029494588036,-0.05302375645433682,0.009894805067761303,0.07861013620491142
27,0.4486350682435429,0.4362157205334026,0.740200653997032,0.5334628733776623,0.5141359916531132,0.7272352341528829,-0.08482780513411942,-0.07792027111971062,0.012965419844149118,0.11591129059317905
28,0.44028334490258253,0.4285867758216598,0.7387969120374047,0.5527112971282275,0.5311861979208834,0.7225491958644261,-0.112427952225645,-0.10259942209922357,0.0162477161729786,0.1530708141272667
29,0.43192092072383814,0.4209695622869398,0.7373931700777774,0.5719044502096711,0.5480239367918736,0.7176462338199793,-0.13998352948583292,-0.12705437450493373,0.01974693625779811,0.19007404899070401
30,0.4235478121853927,0.4133640949388946,0.73598942811815,0.5910404133226791,0.5646424733950353,0.712520825173375,-0.16749260113728637,-0.15127837845614067,0.02346860294477504,0.2269134075990948
31,0.41801666385562,0.4083541909019924,0.7426264880956989,0.610117272886887,0.5810351605373051,0.7071671564563529,-0.19210060903126702,-0.1726809696353127,0.035459331639346,0.2607273009576953
32,0.412518888139959,0.40330768691554736,0.7492635480732477,0.6291331212322355,0.597195441362392,0.7015791132839158,-0.2166142330922765,-0.19388775444684464,0.04768443478933193,0.2945980187030678
