timestep,v,omega,controller,solve_time_ms
0,1.4142135623730951,-0.0037503125209392696,LQR,30.269400000179303
1,1.4140240216160753,-0.01126247139232554,LQR,5.630999999993946
2,1.413445516473017,-0.01880770207582083,LQR,4.914900000585476
3,1.412486120855441,-0.026389183977287598,LQR,8.809999999357387
4,1.411152478112993,-0.03401088277208051,LQR,4.375900000013644
5,1.4209862174042633,0.689273881539084,MPC,638.2406999991872
6,1.4190003011952848,0.6899218827899737,MPC,270.64449999943463
7,1.4174815348989696,0.6991487266617556,MPC,245.64079999981914
8,1.4163039114847398,0.7128984143023057,MPC,253.34310000016558
9,1.4153475221999985,0.7270799507413245,MPC,441.0950999999841
10,1.414398519853228,0.7334731343496638,MPC,350.5756000004112
11,1.4132735940120478,0.7265648015208555,MPC,241.94100000022445
12,1.4118501889265165,0.7018622043840935,MPC,244.60569999973814
13,1.4100294398627409,0.6600302319350441,MPC,278.483199999755
14,1.4077724054999816,0.6025565597001749,MPC,245.26400000013382
15,1.4052230119577624,0.5360220887356723,MPC,247.61529999977938
16,1.4025587165255862,0.4689290049169852,MPC,327.9136999999537
17,1.3998038005679874,0.4057635490580809,MPC,267.4713000005795
18,1.396873769374047,0.34939985767327,MPC,256.65680000020075
19,1.393477818641441,0.29923180700363733,MPC,250.11869999980263
20,1.3892323504300286,0.25324730602462325,MPC,440.0841999995464
21,1.3835599339067193,0.20986558052427795,MPC,512.5939999998081
22,1.3757191244879645,0.16706306508460783,MPC,508.7328999998135
23,1.3647327938650629,0.12349754029885995,MPC,483.6037999994005
24,1.3489387806489437,0.07752081447474635,MPC,477.6480000000447
25,1.3263420286011862,0.028046624112895463,MPC,366.1068000001251
26,1.2926674365684332,-0.02562546377860267,MPC,262.95200000004115
27,1.243126105705216,-0.08393577622952975,MPC,365.3417999994417
28,1.1686423673581035,-0.14564125561243182,MPC,273.25909999945
29,1.0496109498881723,-0.20698597799119847,MPC,252.75929999952496
30,0.8448185623006498,-0.25972480508740403,MPC,249.6406999998726
31,0.7082038121914072,-0.2751977758984963,MPC,410.3997000001982
32,0.6522802407638562,-0.28494394594075473,MPC,292.94149999986985
33,0.6386597221996697,-0.3292498148154272,MPC,252.01109999943583
34,0.6694702763573045,-0.4282205292007185,MPC,250.7649000008314
35,0.7778649321576987,-0.6076064678305296,MPC,463.6638000001767
36,1.0453259494252067,-0.8922696297017227,MPC,250.07000000005064
37,1.5303529854967992,-1.3156736008887524,MPC,247.0831000000544
38,2.0000000481171862,-1.86291102768567,MPC,300.51430000003165
39,1.9999999388129681,-2.395124641804119,MPC,248.27879999975266
40,1.999999864406914,-2.694254054962437,MPC,257.9431000003751
41,1.9999998323055477,-2.7851996298229165,MPC,251.55089999952907
42,1.9999999825564294,-2.7124379173102753,MPC,293.60910000013973
43,2.000000373792248,-2.532706907145396,MPC,254.06179999936285
44,1.7904287309909255,-2.2930103296699285,MPC,264.5443000001251
45,1.4893571230213545,-2.034862462170854,MPC,268.1196999992608
46,1.2448324965422533,-1.789757235140656,MPC,293.738299999859
47,1.0551188434973842,-1.5716692579571443,MPC,253.65899999997055
48,0.9162511613727717,-1.3839948404055424,MPC,258.8193000001411
49,0.817003905045166,-1.2250028749904223,MPC,336.70729999994364
50,0.74812694592082,-1.091541298450651,MPC,485.8843000001798
51,0.6984156202346246,-0.9799350093084949,MPC,307.8117999993992
52,0.6629457743022118,-0.8871739459955468,MPC,249.21790000007604
53,0.6416981591317791,-0.8107851810718979,MPC,348.2706999993752
54,0.6401053248387496,-0.7491205050509857,MPC,239.08010000013746
55,0.7389378564793144,-0.7023879963487987,MPC,241.20719999973517
56,0.8297061938810663,-0.6646327085633651,MPC,241.7756000004374
57,0.8894429537008082,-0.6351627376241336,MPC,330.846300000303
58,0.9275294114562852,-0.6146292119486783,MPC,240.3615000002901
59,0.9504651551995311,-0.603026096023493,MPC,239.10649999925226
60,0.9627922107066019,-0.599901324405025,MPC,275.21619999970426
61,0.9676945063377241,-0.6045733253774852,MPC,232.1972999998252
62,0.967417312483683,-0.6162468879267269,MPC,231.9336000000476
63,0.9635523672539702,-0.6340924488920041,MPC,232.57439999997587
64,0.9572338017564993,-0.6572948490746009,MPC,272.1764999996594
65,0.9492734991106767,-0.6850811239869463,MPC,235.42039999938424
66,0.9402551233962226,-0.7167342023703902,MPC,232.58140000052663
