timestep,v,omega,controller,solve_time_ms
0,1.4142135623730951,-0.0037503125209392696,LQR,107.19429998425767
1,1.4140240216160753,-0.01126247139232554,LQR,2.604400011477992
2,1.413445516473017,-0.01880770207582083,LQR,4.826399992452934
3,1.412486120855441,-0.026389183977287598,LQR,4.881100001512095
4,1.411152478112993,-0.03401088277208051,LQR,2.259300003061071
5,1.4209862174042633,0.689273881539084,MPC,529.2447000101674
6,1.4190003011952848,0.6899218827899737,MPC,400.2152000030037
7,1.4174815348989696,0.6991487266617556,MPC,425.3819999867119
8,1.4163039114847398,0.7128984143023057,MPC,287.2081999958027
9,1.4153475221999985,0.7270799507413245,MPC,279.12880000076257
10,1.414398519853228,0.7334731343496638,MPC,240.0857000029646
11,1.4132735940120478,0.7265648015208555,MPC,232.29310000897385
12,1.4118501889265165,0.7018622043840935,MPC,252.24569998681545
13,1.4100294398627409,0.6600302319350441,MPC,301.12769998959266
14,1.4077724054999816,0.6025565597001749,MPC,244.6285999903921
15,1.4052230119577624,0.5360220887356723,MPC,258.06809999630786
16,1.4025587165255862,0.4689290049169852,MPC,305.3741999901831
17,1.3998038005679874,0.4057635490580809,MPC,247.37009999807924
18,1.396873769374047,0.34939985767327,MPC,263.1159999873489
19,1.393477818641441,0.29923180700363733,MPC,245.9859999944456
20,1.3892323504300286,0.25324730602462325,MPC,291.71010002028197
21,1.3835599339067193,0.20986558052427795,MPC,268.3383999974467
22,1.3757191244879645,0.16706306508460783,MPC,261.6699999780394
23,1.3647327938650629,0.12349754029885995,MPC,262.56949998787604
24,1.3489387806489437,0.07752081447474635,MPC,282.5171999866143
25,1.3263420286011862,0.028046624112895463,MPC,246.87730000005104
26,1.2926674365684332,-0.02562546377860267,MPC,272.6161000027787
27,1.243126105705216,-0.08393577622952975,MPC,317.1606000105385
28,1.1686423673581035,-0.14564125561243182,MPC,317.9309000261128
29,1.0496109498881723,-0.20698597799119847,MPC,242.17069998849183
30,0.8448185623006498,-0.25972480508740403,MPC,251.76650000503287
31,0.7082038121914072,-0.2751977758984963,MPC,274.8221000074409
32,0.6522802407638562,-0.28494394594075473,MPC,251.04479998117313
33,0.6386597221996697,-0.3292498148154272,MPC,245.13190001016483
34,0.6694702763573045,-0.4282205292007185,MPC,240.4431999893859
35,0.7778649321576987,-0.6076064678305296,MPC,299.22859999351203
36,1.0453259494252067,-0.8922696297017227,MPC,251.61190002108924
37,1.5303529854967992,-1.3156736008887524,MPC,248.46460000844672
38,2.0000000481171862,-1.86291102768567,MPC,278.3830999978818
39,1.9999999388129681,-2.395124641804119,MPC,244.12139999913052
40,1.999999864406914,-2.694254054962437,MPC,247.06509997486137
41,1.9999998323055477,-2.7851996298229165,MPC,240.9478999907151
42,1.9999999825564294,-2.7124379173102753,MPC,278.2493999984581
43,2.000000373792248,-2.532706907145396,MPC,245.9833000029903
44,1.7904287309909255,-2.2930103296699285,MPC,265.53400000557303
45,1.4893571230213545,-2.034862462170854,MPC,268.37000000523403
46,1.2448324965422533,-1.789757235140656,MPC,294.82589999679476
47,1.0551188434973842,-1.5716692579571443,MPC,261.8742999911774
48,0.9162511613727717,-1.3839948404055424,MPC,258.1983000272885
49,0.817003905045166,-1.2250028749904223,MPC,382.6184999779798
50,0.74812694592082,-1.091541298450651,MPC,515.7313000236172
51,0.6984156202346246,-0.9799350093084949,MPC,495.02030000439845
52,0.6629457743022118,-0.8871739459955468,MPC,501.4742000203114
53,0.6416981591317791,-0.8107851810718979,MPC,569.1557000100147
54,0.6401053248387496,-0.7491205050509857,MPC,461.0363999963738
55,0.7389378564793144,-0.7023879963487987,MPC,478.7273999827448
56,0.8297061938810663,-0.6646327085633651,MPC,447.8978000115603
57,0.8894429537008082,-0.6351627376241336,MPC,311.95289999595843
58,0.9275294114562852,-0.6146292119486783,MPC,227.79760000412352
59,0.9504651551995311,-0.603026096023493,MPC,232.8247999830637
60,0.9627922107066019,-0.599901324405025,MPC,272.73409999907017
61,0.9676945063377241,-0.6045733253774852,MPC,233.2217000075616
62,0.967417312483683,-0.6162468879267269,MPC,231.00269999122247
63,0.9635523672539702,-0.6340924488920041,MPC,237.78160000802018
64,0.9572338017564993,-0.6572948490746009,MPC,261.7671000189148
65,0.9492734991106767,-0.6850811239869463,MPC,230.74060000362806
66,0.9402551233962226,-0.7167342023703902,MPC,228.48270001122728
67,0.9305998089501264,-0.7515974057958197,MPC,233.25620000832714
68,0.9206122983582282,-0.7890731912160508,MPC,259.00540000293404
69,0.9105135114320392,-0.8286185169691954,MPC,230.45239999191836
70,0.9004636484604589,-0.8697384613572465,MPC,227.34440001659095
71,0.8905786569095546,-0.9119792003220564,MPC,230.38749999250285
72,0.8809420212605873,-0.9549211205600259,MPC,256.3727000087965
73,0.8716132194467074,-0.9981725479251098,MPC,228.5494999960065
74,0.8626344671580057,-1.041363475822347,MPC,227.40140001405962
75,0.8540347018027702,-1.0841418552798137,MPC,287.70580000127666
76,0.8458317942984104,-1.126171472059844,MPC,230.47579999547452
77,0.8380372193874142,-1.1671276682898608,MPC,229.4322999950964
78,0.8306571239706387,-1.2066969775721361,MPC,228.9722999848891
79,0.8236930638011639,-1.2445780109097815,MPC,259.3540999805555
80,0.8171437260873704,-1.280482337260115,MPC,241.41889999737032
81,0.8110058877801186,-1.3141365057618137,MPC,236.2814999942202
82,0.8052750974530125,-1.3452848915405404,MPC,229.7639999887906
83,0.799946286747005,-1.3736930552390505,MPC,259.3384000065271
84,0.7950142944702835,-1.3991513983231423,MPC,227.3249999852851
85,0.7904742959339296,-1.4214788779914347,MPC,230.96030001761392
86,0.786322138616529,-1.4405265341901925,MPC,268.82550001027994
87,0.7825545848437188,-1.4561805872741715,MPC,229.62540001026355
88,0.7791694612889188,-1.468364886803256,MPC,227.26600000169128
89,0.7761657157380716,-1.4770425287514968,MPC,228.92180000781082
90,0.7735433837837055,-1.482216507952254,MPC,257.82989998697303
91,0.7713034714507236,-1.4839293310720214,MPC,227.89599999669008
