timestep,px,py,theta,px_ref,py_ref,theta_ref,error_px,error_py,error_theta,error_norm
0,0.0,0.0,0.7853981633974483,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,0.0
1,0.0,0.0,0.7853231571470295,0.01999966666833333,0.01999866669333308,0.7853231571470295,-0.01999966666833333,-0.01999866669333308,0.0,0.028283092765033196
2,0.003152236918704261,0.0031517640792258833,0.785098205553372,0.03999733338666616,0.03998933418663416,0.7850980633706443,-0.0368450964679619,-0.03683757010740828,1.421827277026111e-07,0.052101513463352046
3,0.009151711120253652,0.00914764018125136,0.7847232375787335,0.05999100040499132,0.0599640064794446,0.7847226568420766,-0.05083928928473767,-0.05081636629819324,5.807366568744143e-07,0.07188140523853612
4,0.01772485798358263,0.017709222371789197,0.784198098658155,0.07997866837326832,0.07991469396917268,0.7841965616812204,-0.06225381038968569,-0.06220547159738349,1.5369769346129658e-06,0.0880060089258121
5,0.028624479352952446,0.028582714582743293,0.7835225486898411,0.09995833854135666,0.09983341664682815,0.7835192505983565,-0.07133385918840421,-0.07125070206408486,3.2980914845825993e-06,0.10082252735482022
6,0.04162548708742083,0.04153504379963167,0.7826962516260365,0.11992801295888919,0.11971220728891936,0.7826900438339384,-0.07830252587146835,-0.07817716348928769,6.2077920981451484e-06,0.11064788514752312
7,0.056521332247099015,0.05635061114875553,0.7817187573073631,0.13988569467506554,0.1395431146442365,0.7817081077917023,-0.08336436242796652,-0.08319250349548096,1.0649515660765552e-05,0.11777355252466129
8,0.07312101338602614,0.07282858561099465,0.7805894768383135,0.1598293879383454,0.15931820661424598,0.7805724533623122,-0.08670837455231925,-0.08648962100325133,1.7023476001298832e-05,0.12246957601212667
9,0.09124657416847844,0.09078065902160551,0.7793076532566559,0.17975709839602208,0.17902957342582415,0.7792819339341677,-0.08851052422754364,-0.08824891440421864,2.5719322488182428e-05,0.12498793723412371
10,0.11073101458703599,0.11002919295018179,0.7778723295316055,0.1996668332936563,0.19866933079506124,0.7778352430874435,-0.08893581870662032,-0.08864013784487945,3.708644416200446e-05,0.12556534259731228
11,0.13141655186185555,0.1304056982798109,0.7762823160527274,0.21955660167434962,0.21822962308086932,0.7762309119668949,-0.08814004981249407,-0.08782392480105841,5.14040858324849e-05,0.124425531105119
12,0.15315317700301606,0.15174959706294036,0.7745361597569212,0.23942441457783872,0.23770262642713458,0.7744673063284713,-0.08627123757482266,-0.08595302936419422,6.885342844997755e-05,0.1217811743676671
13,0.17579746132921545,0.17390722372955253,0.7726321168967974,0.2592682852393897,0.2570805518921551,0.7725426232543283,-0.08347082391017427,-0.08317332816260259,8.94936424691295e-05,0.11783543173001636
14,0.19921157421814437,0.19673102913523813,0.7705681311943782,0.279086229288473,0.27635564856411376,0.7704548875304338,-0.07987465507032862,-0.07962461942887564,0.00011324366394438456,0.11278321402551301
