timestep,v,omega,controller,solve_time_ms
0,0.0,-0.0037503125209392696,MPC,307.4478000635281
1,0.0,-0.0037503125209392696,MPC,307.4478000635281
2,0.0,-0.0037503125209392696,MPC,307.4478000635281
3,0.9830377343395895,-0.030191394140664338,MPC,294.7460999712348
4,0.9830377343395895,-0.030191394140664338,MPC,294.7460999712348
5,0.9830377343395895,-0.030191394140664338,MPC,294.7460999712348
6,1.4115580940859067,-0.0544099149520549,MPC,249.71070000901818
7,1.4115580940859067,-0.0544099149520549,MPC,249.71070000901818
8,1.4115580940859067,-0.0544099149520549,MPC,249.71070000901818
9,1.6061098887483292,-0.06388536714064388,MPC,326.1603000573814
10,1.6061098887483292,-0.06388536714064388,MPC,326.1603000573814
11,1.6061098887483292,-0.06388536714064388,MPC,326.1603000573814
12,1.6827850384236314,-0.03834213928132422,MPC,245.7046000054106
13,1.6827850384236314,-0.03834213928132422,MPC,245.7046000054106
14,1.6827850384236314,-0.03834213928132422,MPC,245.7046000054106
15,1.677508119983453,-0.0019087993664402142,MPC,257.9385000281036
16,1.677508119983453,-0.0019087993664402142,MPC,257.9385000281036
17,1.677508119983453,-0.0019087993664402142,MPC,257.9385000281036
18,1.1417019995157374,-0.15365836532618543,MPC,301.8233999609947
19,1.1417019995157374,-0.15365836532618543,MPC,301.8233999609947
20,1.1417019995157374,-0.15365836532618543,MPC,301.8233999609947
21,1.5543119945346238,0.16299676810985364,MPC,432.0261999964714
22,1.5543119945346238,0.16299676810985364,MPC,432.0261999964714
23,1.5543119945346238,0.16299676810985364,MPC,432.0261999964714
24,0.7497409178105635,0.14034357227355093,MPC,287.590500083752
25,0.7497409178105635,0.14034357227355093,MPC,287.590500083752
26,0.7497409178105635,0.14034357227355093,MPC,287.590500083752
27,-0.6253089324243963,0.09786726111807137,MPC,193.82020004559308
28,-0.6253089324243963,0.09786726111807137,MPC,193.82020004559308
29,-0.6253089324243963,0.09786726111807137,MPC,193.82020004559308
30,0.8428911905761043,0.09126275870616485,MPC,241.74009996932
31,0.8428911905761043,0.09126275870616485,MPC,241.74009996932
32,0.8428911905761043,0.09126275870616485,MPC,241.74009996932
33,-1.1761068940756283,-0.046376560846918935,MPC,272.6205999497324
34,-1.1761068940756283,-0.046376560846918935,MPC,272.6205999497324
35,-1.1761068940756283,-0.046376560846918935,MPC,272.6205999497324
36,1.463734053981187,-0.07028720150831869,MPC,151.56410005874932
37,1.463734053981187,-0.07028720150831869,MPC,151.56410005874932
38,1.463734053981187,-0.07028720150831869,MPC,151.56410005874932
39,1.4428106982010465,-0.4520715154916214,MPC,359.2863999074325
40,1.4428106982010465,-0.4520715154916214,MPC,359.2863999074325
41,1.4428106982010465,-0.4520715154916214,MPC,359.2863999074325
42,-1.8999999999999997,2.4688109726897434,MPC,369.1893999930471
43,-1.8999999999999997,2.4688109726897434,MPC,369.1893999930471
44,-1.8999999999999997,2.4688109726897434,MPC,369.1893999930471
45,-0.9347034484555685,-1.400860298011167,MPC,226.62259999196976
46,-0.9347034484555685,-1.400860298011167,MPC,226.62259999196976
47,-0.9347034484555685,-1.400860298011167,MPC,226.62259999196976
48,1.3236697357439877,-1.0717471821417668,MPC,148.06700008921325
49,1.3236697357439877,-1.0717471821417668,MPC,148.06700008921325
