timestep,px,py,theta,px_ref,py_ref,theta_ref,error_px,error_py,error_theta,error_norm
0,0.0,0.0,0.7853981633974483,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,0.0
1,0.0,0.0,0.7853231571470295,0.01999966666833333,0.01999866669333308,0.7853231571470295,-0.01999966666833333,-0.01999866669333308,0.0,0.028283092765033196
2,0.004110265045390467,0.004109648500495467,0.7851091636668965,0.03999733338666616,0.03998933418663416,0.7850980633706443,-0.035887068341275696,-0.035879685686138696,1.110029625228659e-05,0.0507467599190734
3,0.011342547815957924,0.011337752223146364,0.7847677727629992,0.05999100040499132,0.0599640064794446,0.7847226568420766,-0.0486484525890334,-0.04862625425629824,4.5115920922600417e-05,0.06878362143528002
4,0.021334163592258072,0.02131677869194364,0.7842949832776814,0.07997866837326832,0.07991469396917268,0.7841965616812204,-0.05864450478101025,-0.058597915277229046,9.84215964610069e-05,0.08290297523405235
5,0.03382322900402987,0.0337783190802546,0.7836849330875746,0.09995833854135666,0.09983341664682815,0.7835192505983565,-0.06613510953732679,-0.06605509756657355,0.0001656824892181108,0.09347275581008081
6,0.050662246710509354,0.05055973718072379,0.7828495576891252,0.11992801295888919,0.11971220728891936,0.7826900438339384,-0.06926576624837984,-0.06915247010819557,0.00015951385518686578,0.09787663633733065
7,0.06895521352761641,0.0687596977135027,0.781894652712047,0.13988569467506554,0.1395431146442365,0.7817081077917023,-0.07093048114744913,-0.0707834169307338,0.00018654492034464454,0.10020708591315304
8,0.0884027278065837,0.08807141804425153,0.7808279573339659,0.1598293879383454,0.15931820661424598,0.7805724533623122,-0.07142666013176169,-0.07124678856999445,0.0002555039716537477,0.1008857667929189
9,0.10877618899323754,0.10825950331470555,0.7796546497323397,0.17975709839602208,0.17902957342582415,0.7792819339341677,-0.07098090940278454,-0.0707700701111186,0.0003727157981719964,0.10023388269564915
10,0.12989222491450408,0.1291343613109525,0.7783818182885117,0.1996668332936563,0.19866933079506124,0.7778352430874435,-0.06977460837915223,-0.06953496948410876,0.0005465752010682667,0.09850840928606257
11,0.15297733919432535,0.1518977811735655,0.7767633734111588,0.21955660167434962,0.21822962308086932,0.7762309119668949,-0.06657926248002427,-0.06633184190730382,0.0005324614442638875,0.09398401437685636
12,0.17656824179239047,0.1750847565801235,0.7750408155269133,0.23942441457783872,0.23770262642713458,0.7744673063284713,-0.06285617278544825,-0.06261786984701107,0.0005735091984420126,0.0887255599825216
13,0.2004480612632786,0.19847496640604045,0.7732139413408549,0.2592682852393897,0.2570805518921551,0.7725426232543283,-0.05882022397611111,-0.058605585486114664,0.00067131808652654,0.08303543861956453
14,0.22457020917056325,0.22201634261170927,0.7712736184825552,0.279086229288473,0.27635564856411376,0.7704548875304338,-0.054516020117909736,-0.05433930595240449,0.0008187309521213715,0.07697679482322789
