timestep,v,omega,controller,solve_time_ms
0,0.9366234789090847,-0.008822231117485663,MPC,68.50810000105412
1,0.9366234789090847,-0.008822231117485663,MPC,68.50810000105412
2,0.9366234789090847,-0.008822231117485663,MPC,68.50810000105412
3,0.9366234789090847,-0.008822231117485663,MPC,68.50810000105412
4,0.9366234789090847,-0.008822231117485663,MPC,68.50810000105412
5,1.3662975202752679,-0.056580979183939936,MPC,76.54330000150367
6,1.3662975202752679,-0.056580979183939936,MPC,76.54330000150367
7,1.3662975202752679,-0.056580979183939936,MPC,76.54330000150367
8,1.3662975202752679,-0.056580979183939936,MPC,76.54330000150367
9,1.3662975202752679,-0.056580979183939936,MPC,76.54330000150367
10,1.3906951431427972,-0.09098363888402129,MPC,79.37160000074073
11,1.3906951431427972,-0.09098363888402129,MPC,79.37160000074073
12,1.3906951431427972,-0.09098363888402129,MPC,79.37160000074073
13,1.3906951431427972,-0.09098363888402129,MPC,79.37160000074073
14,1.3906951431427972,-0.09098363888402129,MPC,79.37160000074073
15,1.3712989569770417,-0.13482060639172405,MPC,93.8856000029773
16,1.3712989569770417,-0.13482060639172405,MPC,93.8856000029773
17,1.3712989569770417,-0.13482060639172405,MPC,93.8856000029773
18,1.3712989569770417,-0.13482060639172405,MPC,93.8856000029773
19,1.3712989569770417,-0.13482060639172405,MPC,93.8856000029773
20,1.3405786913101494,-0.17880395741039246,MPC,109.32339999999385
21,1.3405786913101494,-0.17880395741039246,MPC,109.32339999999385
22,1.3405786913101494,-0.17880395741039246,MPC,109.32339999999385
23,1.3405786913101494,-0.17880395741039246,MPC,109.32339999999385
24,1.3405786913101494,-0.17880395741039246,MPC,109.32339999999385
25,0.710715552743228,-0.17073662100898537,MPC,146.8218000009074
26,0.710715552743228,-0.17073662100898537,MPC,146.8218000009074
27,0.710715552743228,-0.17073662100898537,MPC,146.8218000009074
28,0.710715552743228,-0.17073662100898537,MPC,146.8218000009074
29,0.710715552743228,-0.17073662100898537,MPC,146.8218000009074
30,-1.4775526683925189,-0.015954574091045226,MPC,399.5446999979322
31,-1.4775526683925189,-0.015954574091045226,MPC,399.5446999979322
32,-1.4775526683925189,-0.015954574091045226,MPC,399.5446999979322
33,-1.4775526683925189,-0.015954574091045226,MPC,399.5446999979322
34,-1.4775526683925189,-0.015954574091045226,MPC,399.5446999979322
35,-1.9890997051236847,2.4000000000000004,MPC,201.08640000034939
36,-1.9890997051236847,2.4000000000000004,MPC,201.08640000034939
37,-1.9890997051236847,2.4000000000000004,MPC,201.08640000034939
38,-1.9890997051236847,2.4000000000000004,MPC,201.08640000034939
39,-1.9890997051236847,2.4000000000000004,MPC,201.08640000034939
40,1.999997016866143,2.7,MPC,276.029099997686
41,1.999997016866143,2.7,MPC,276.029099997686
42,1.999997016866143,2.7,MPC,276.029099997686
43,1.999997016866143,2.7,MPC,276.029099997686
44,1.999997016866143,2.7,MPC,276.029099997686
45,1.9999996145013395,2.9999989298794585,MPC,458.1384999983129
46,1.9999996145013395,2.9999989298794585,MPC,458.1384999983129
47,1.9999996145013395,2.9999989298794585,MPC,458.1384999983129
48,1.9999996145013395,2.9999989298794585,MPC,458.1384999983129
49,1.9999996145013395,2.9999989298794585,MPC,458.1384999983129
50,2.000000295066849,-2.978243793678484,MPC,188.22720000025583
51,2.000000295066849,-2.978243793678484,MPC,188.22720000025583
52,2.000000295066849,-2.978243793678484,MPC,188.22720000025583
53,2.000000295066849,-2.978243793678484,MPC,188.22720000025583
54,2.000000295066849,-2.978243793678484,MPC,188.22720000025583
55,2.000000240909228,-2.9745142046834574,MPC,197.38849999703234
56,2.000000240909228,-2.9745142046834574,MPC,197.38849999703234
57,2.000000240909228,-2.9745142046834574,MPC,197.38849999703234
58,2.000000240909228,-2.9745142046834574,MPC,197.38849999703234
59,2.000000240909228,-2.9745142046834574,MPC,197.38849999703234
60,2.0000001458158465,-2.970661836709031,MPC,143.14509999894653
61,2.0000001458158465,-2.970661836709031,MPC,143.14509999894653
62,2.0000001458158465,-2.970661836709031,MPC,143.14509999894653
63,2.0000001458158465,-2.970661836709031,MPC,143.14509999894653
64,2.0000001458158465,-2.970661836709031,MPC,143.14509999894653
65,2.00000000923405,-2.967420284003485,MPC,146.47790000162786
66,2.00000000923405,-2.967420284003485,MPC,146.47790000162786
67,2.00000000923405,-2.967420284003485,MPC,146.47790000162786
68,2.00000000923405,-2.967420284003485,MPC,146.47790000162786
69,2.00000000923405,-2.967420284003485,MPC,146.47790000162786
70,2.0000000000000018,-2.9237739186097156,MPC,193.98290000026464
71,2.0000000000000018,-2.9237739186097156,MPC,193.98290000026464
