timestep,v,omega,controller,solve_time_ms
0,0.0,-0.0037503125209392696,MPC,168.90459996648133
1,0.0,-0.0037503125209392696,MPC,168.90459996648133
2,0.0,-0.0037503125209392696,MPC,168.90459996648133
3,0.0,-0.0037503125209392696,MPC,168.90459996648133
4,0.0,-0.0037503125209392696,MPC,168.90459996648133
5,1.1478227110179227,-0.05794035065216606,MPC,122.59919999632984
6,1.1478227110179227,-0.05794035065216606,MPC,122.59919999632984
7,1.1478227110179227,-0.05794035065216606,MPC,122.59919999632984
8,1.1478227110179227,-0.05794035065216606,MPC,122.59919999632984
9,1.1478227110179227,-0.05794035065216606,MPC,122.59919999632984
10,1.673337904924403,-0.09357865876334333,MPC,139.71140002831817
11,1.673337904924403,-0.09357865876334333,MPC,139.71140002831817
12,1.673337904924403,-0.09357865876334333,MPC,139.71140002831817
13,1.673337904924403,-0.09357865876334333,MPC,139.71140002831817
14,1.673337904924403,-0.09357865876334333,MPC,139.71140002831817
15,1.8260679164093958,-0.1360424423281699,MPC,110.65570008940995
16,1.8260679164093958,-0.1360424423281699,MPC,110.65570008940995
17,1.8260679164093958,-0.1360424423281699,MPC,110.65570008940995
18,1.8260679164093958,-0.1360424423281699,MPC,110.65570008940995
19,1.8260679164093958,-0.1360424423281699,MPC,110.65570008940995
20,1.4192983118637228,-0.15928631283100095,MPC,90.75099998153746
21,1.4192983118637228,-0.15928631283100095,MPC,90.75099998153746
22,1.4192983118637228,-0.15928631283100095,MPC,90.75099998153746
23,1.4192983118637228,-0.15928631283100095,MPC,90.75099998153746
24,1.4192983118637228,-0.15928631283100095,MPC,90.75099998153746
25,1.3655442646021547,-0.21556287833815113,MPC,110.81320000812411
26,1.3655442646021547,-0.21556287833815113,MPC,110.81320000812411
27,1.3655442646021547,-0.21556287833815113,MPC,110.81320000812411
28,1.3655442646021547,-0.21556287833815113,MPC,110.81320000812411
29,1.3655442646021547,-0.21556287833815113,MPC,110.81320000812411
30,-1.8902555911854857,1.7341903495980535,MPC,86.32220001891255
31,-1.8902555911854857,1.7341903495980535,MPC,86.32220001891255
32,-1.8902555911854857,1.7341903495980535,MPC,86.32220001891255
33,-1.8902555911854857,1.7341903495980535,MPC,86.32220001891255
34,-1.8902555911854857,1.7341903495980535,MPC,86.32220001891255
35,-1.8890996887628178,2.0999999999999996,MPC,119.03579998761415
36,-1.8890996887628178,2.0999999999999996,MPC,119.03579998761415
37,-1.8890996887628178,2.0999999999999996,MPC,119.03579998761415
38,-1.8890996887628178,2.0999999999999996,MPC,119.03579998761415
39,-1.8890996887628178,2.0999999999999996,MPC,119.03579998761415
40,1.634360174439474,-0.62868149262473,MPC,122.12379998527467
41,1.634360174439474,-0.62868149262473,MPC,122.12379998527467
42,1.634360174439474,-0.62868149262473,MPC,122.12379998527467
43,1.634360174439474,-0.62868149262473,MPC,122.12379998527467
44,1.634360174439474,-0.62868149262473,MPC,122.12379998527467
45,1.587296083631325,-0.7028367138551921,MPC,134.1588000068441
46,1.587296083631325,-0.7028367138551921,MPC,134.1588000068441
47,1.587296083631325,-0.7028367138551921,MPC,134.1588000068441
48,1.587296083631325,-0.7028367138551921,MPC,134.1588000068441
49,1.587296083631325,-0.7028367138551921,MPC,134.1588000068441
