timestep,px,py,theta,px_ref,py_ref,theta_ref,error_px,error_py,error_theta,error_norm
0,0.0,0.0,0.7853981633974483,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,0.0
1,0.0002813267086792642,0.0002813267086792642,0.7853618835756592,0.01999966666833333,0.01999866669333308,0.7853231571470295,-0.019718339959654066,-0.019717339984653817,3.8726428629676235e-05,0.02788526360949799
2,0.0005626636236562368,0.0005626432106905304,0.7853256037538701,0.03999733338666616,0.03998933418663416,0.7850980633706443,-0.039434669763009925,-0.03942669097594363,0.0002275403832258105,0.05576386747039881
3,0.0008440107445606151,0.0008439495056635229,0.785289323932081,0.05999100040499132,0.0599640064794446,0.7847226568420766,-0.05914698966043071,-0.05912005697378108,0.0005666670900043025,0.08362935270624251
4,0.0011253680710220828,0.001125245593227979,0.7852530441102918,0.07997866837326832,0.07991469396917268,0.7841965616812204,-0.07885330030224624,-0.0787894483759447,0.0010564824290714148,0.11147527214169436
5,0.0014067356026703102,0.0014065314730136499,0.7852167642885027,0.09995833854135666,0.09983341664682815,0.7835192505983565,-0.09855160293868635,-0.09842688517381451,0.0016975136901462573,0.13929519632611884
6,0.025323869358791065,0.02531498970926703,0.7843787361985244,0.11992801295888919,0.11971220728891936,0.7826900438339384,-0.09460414360009813,-0.09439721757965233,0.0016886923645860197,0.13365489274617082
7,0.04926103067376235,0.04920339632259907,0.783540708108546,0.13988569467506554,0.1395431146442365,0.7817081077917023,-0.09062466400130319,-0.09033971832163742,0.0018326003168437355,0.127974422662121
8,0.07321820273673027,0.07307173453639587,0.7827026800185677,0.1598293879383454,0.15931820661424598,0.7805724533623122,-0.08661118520161512,-0.0862464720778501,0.0021302266562555072,0.12224765524749696
9,0.09719536872278758,0.0969199875881374,0.7818646519285893,0.17975709839602208,0.17902957342582415,0.7792819339341677,-0.0825617296732345,-0.08210958583768675,0.0025827179944216683,0.11646928232504658
10,0.1211925117929855,0.12074813872940926,0.781026623838611,0.1996668332936563,0.19866933079506124,0.7778352430874435,-0.07847432150067081,-0.07792119206565198,0.0031913807511675385,0.11063505872471796
11,0.14486690299274343,0.14421644246056306,0.7794257093833451,0.21955660167434962,0.21822962308086932,0.7762309119668949,-0.07468969868160619,-0.07401318062030626,0.0031947974164502346,0.10519842548829028
12,0.16857883458527378,0.1676468154590457,0.7778247949280792,0.23942441457783872,0.23770262642713458,0.7744673063284713,-0.07084557999256494,-0.07005581096808888,0.0033574885996079384,0.09969044881319382
13,0.19232824579863766,0.1910391976745322,0.7762238804728133,0.2592682852393897,0.2570805518921551,0.7725426232543283,-0.06694003944075205,-0.06604135421762292,0.003681257218485001,0.09410622190873262
14,0.2161150757648386,0.21439352915406526,0.7746229660175474,0.279086229288473,0.27635564856411376,0.7704548875304338,-0.06297115352363439,-0.061962119410048505,0.004168078487113647,0.08844231620755406
15,0.23993926351997863,0.23770975004220876,0.7730220515622815,0.29887626494719843,0.29552020666133955,0.7682019476806334,-0.058937001427219804,-0.057810456619130784,0.004820103881648108,0.08269735445087945
16,0.263959483204105,0.2611426545678894,0.7706290678790766,0.31863641322849195,0.31456656061611776,0.765781471650788,-0.05467693002438695,-0.05342390604822839,0.004847596228288564,0.07659751695410341
17,0.28803570861858335,0.2845180120619381,0.7682360841958716,0.33836469813399206,0.33348709214081446,0.7631909421364422,-0.050328989515408706,-0.04896908007887635,0.005045142059429408,0.07040192787000472
18,0.3121678018940827,0.30783568866845173,0.7658431005126667,0.35805914685164836,0.35227423327509,0.760427651547437,-0.04589134495756564,-0.044438544606638264,0.005415448965229719,0.06411027122283504
19,0.3363556248413522,0.33109555086182896,0.7634501168294617,0.37771778995300115,0.3709204694129827,0.7574886966029721,-0.041362165111648974,-0.03982491855115372,0.0059614202264896,0.057726868713330874
