timestep,v,omega,controller,solve_time_ms
0,0.0,-0.0037503125209392696,MPC,602.1180000388995
1,0.22288009333911313,-0.011247579682876988,MPC,4.7296000411733985
2,0.42409969619741805,-0.018748398731924177,MPC,5.05090004298836
3,0.6058042933686218,-0.026256946028924817,MPC,4.863400012254715
4,0.7697963673227202,-0.03377749841569823,MPC,4.451400018297136
5,0.9175906416457816,-0.04131485319022676,MPC,4.201499978080392
6,1.0504608975320464,-0.04887471593367054,MPC,4.073800053447485
7,1.16947964528274,-0.05646402345247796,MPC,4.2640999890863895
8,1.275551736914593,-0.06409117908288357,MPC,3.915600012987852
9,1.3694428400118344,-0.07176618625251839,MPC,4.2600000742822886
10,1.4518035523068828,-0.07950067394390423,MPC,4.1452000150457025
11,1.5231898172846075,-0.087307814790304,MPC,3.8075000047683716
12,1.5840802001025085,-0.09520214300618753,MPC,3.7976999301463366
13,1.6348904975350105,-0.10319928512096596,MPC,3.8250000216066837
14,1.6454034605222643,-0.1022693778379975,MPC,8.850399986840785
15,1.6011739252777728,-0.0842849103401418,MPC,11.040800018236041
16,1.5588347154106947,-0.06406697139522999,MPC,12.958000064827502
17,1.5165404981849124,-0.04116719580065173,MPC,6.298100110143423
18,1.4726467019975504,-0.014836176607649604,MPC,5.764800007455051
19,1.425647096701662,0.01612762705428919,MPC,7.230499992147088
20,1.3741174656474573,0.05362517579885642,MPC,7.215799996629357
21,1.3166686504921123,0.10066169889462151,MPC,10.530299972742796
22,1.2244307534979473,0.16194322837643865,MPC,32.73780003655702
23,1.0941505521265338,0.24442833460116248,MPC,38.76030002720654
24,0.9354170120934311,0.3603348265369052,MPC,23.35889998357743
25,0.7446974021815715,0.5315225754795141,MPC,41.49929992854595
26,0.5320763824331513,0.874016484397532,MPC,51.6090999590233
27,0.32963928169848644,1.5192233540852085,MPC,23.857700056396425
28,0.07099958190058064,2.6581186520150344,MPC,33.96260004956275
29,1.4028974809965025,-0.3448651542699917,MPC,64.95859997812659
30,1.3949880722381158,-0.3553922105714876,MPC,73.52430000901222
31,1.3867153806953263,-0.3662338455950321,MPC,73.57680005952716
32,1.3780871968238269,-0.3774055453825557,MPC,76.03660004679114
33,1.3691116287541298,-0.388923337591381,MPC,102.78920002747327
34,1.3597971076812012,-0.4008038007515004,MPC,89.78739997837692
35,1.3501523936628823,-0.4130640702455376,MPC,137.44690001476556
36,1.3401865818480942,-0.42572184029635035,MPC,163.6713999323547
37,1.3299091091550523,-0.4387953611327117,MPC,121.79600005038083
38,1.3193297614184696,-0.4523034303737341,MPC,85.2801000000909
39,1.308458681023014,-0.4662653775268378,MPC,76.77140005398542
40,1.2973063750378464,-0.4807010403301885,MPC,140.4192999470979
41,1.2858837238639196,-0.4956307314882753,MPC,68.04629997350276
42,1.2742019904016249,-0.5110751941467897,MPC,65.27609995100647
43,1.2622728297411712,-0.5270555442304348,MPC,80.87149995844811
44,1.2501082993716173,-0.5435931975240065,MPC,99.47270003613085
45,1.2377208698964925,-0.56070977911469,MPC,117.8455000044778
46,1.2251234362341572,-0.5784270125322664,MPC,73.0286999605596
47,1.2123293292692656,-0.596766585629007,MPC,64.36489999759942
48,1.1993523279074827,-0.6157499899351278,MPC,72.66230008099228
49,1.1862066714687076,-0.635398329918524,MPC,84.8210999974981
50,1.1729070723340196,-0.6557320982770846,MPC,131.06519996654242
51,1.1594687287380465,-0.6767709131137449,MPC,130.21030009258538
52,1.1459073375709572,-0.6985332126070045,MPC,101.73380002379417
53,1.1322391070224227,-0.7210359026154265,MPC,108.00239990931004
54,1.1184807688632015,-0.7442939525753496,MPC,132.24959990475327
55,1.104649590118091,-0.7683199351044802,MPC,121.01709994021803
56,1.0907633838364834,-0.7931235049537816,MPC,68.69859993457794
57,1.0768405186134307,-0.8187108134135269,MPC,61.854899977333844
58,1.0628999264548193,-0.8450838550392623,MPC,62.18529993202537
59,1.0489611085150845,-0.8722397446909053,MPC,118.72630007565022
60,1.0350441381652273,-0.9001699244566954,MPC,134.27089992910624
61,1.021169660773462,-0.9288593021452949,MPC,111.53690004721284
62,1.0073588895018333,-0.9582853257611876,MPC,97.16349991504103
63,0.9936335963414296,-0.9884170018114434,MPC,149.1944999434054
64,0.9800160975288564,-1.0192138694878796,MPC,93.46020000521094
65,0.9665292324108434,-1.050624947768316,MPC,132.6278999913484
66,0.9531963347565102,-1.0825876782735682,MPC,62.78559996280819
67,0.9400411954633119,-1.1150268932387515,MPC,61.991099966689944
68,0.9270880155694895,-1.1478538450508853,MPC,62.449100078083575
69,0.9143613484804821,-1.180965341215213,MPC,61.937800026498735
70,1.5400992479019915,-1.9412939161773948,MPC,20.400900044478476
71,1.4294047020814367,-1.8769161241903558,MPC,4.914899938739836
72,1.3346827478317116,-1.8244832442203758,MPC,4.573600017465651
73,1.2536415735003834,-1.7823922839047728,MPC,4.420900018885732
74,1.1843101465876817,-1.7491854534067348,MPC,4.3978000758215785
75,1.1250000592642238,-1.7235362800846943,MPC,4.4513000175356865
76,1.0742690958715422,-1.7042367749009095,MPC,4.470400046557188
77,1.030887712868434,-1.6901859606344227,MPC,4.431099980138242
78,0.9938089433274373,-1.6803799401775024,MPC,4.393699928186834
79,0.9621418308300916,-1.673903574973311,MPC,4.390700021758676
80,0.9351282649209649,-1.66992375407202,MPC,4.257000051438808
81,0.9121229675920253,-1.6676841594133602,MPC,4.288699943572283
82,0.892576325148304,-1.666501370356924,MPC,4.263599985279143
83,0.8760197448349991,-1.6657620993277718,MPC,4.2776999762281775
84,0.8620532233961653,-1.6649213111747638,MPC,4.29509999230504
85,0.8503348345043465,-1.6635009527736548,MPC,4.2585000628605485
86,0.8405718672639474,-1.6610890081655643,MPC,4.356899997219443
87,0.832513375012553,-1.6573385994222392,MPC,4.32019995059818
88,0.8259439204041744,-1.6519668749301042,MPC,4.2940001003444195
89,0.8206783282722891,-1.644753464076848,MPC,4.482400021515787
90,0.8165572816394951,-1.6355383281166396,MPC,4.637499921955168
91,0.8134436183637583,-1.6242188975767882,MPC,4.715999937616289
92,0.8112192063073369,-1.6107464521349493,MPC,4.598499974235892
93,0.809782293622504,-1.5951217640549102,MPC,4.448699997738004
94,0.809045247782333,-1.5773900856942462,MPC,4.493899992667139
95,0.8089326123249004,-1.5576356106866565,MPC,4.559800028800964
96,0.809379423884319,-1.5359755737952892,MPC,4.503000061959028
97,0.8103297439131434,-1.512554174365893,MPC,4.40940004773438
98,0.8117353695450129,-1.4875365126740814,MPC,4.644299973733723
99,0.8135546963350286,-1.4611027186886998,MPC,4.440300050191581
100,0.8157517122335294,-1.4334424314550818,MPC,4.41809999756515
101,0.8182951072345361,-1.4047497577656696,MPC,4.3533999705687165
