timestep,v,omega,controller,solve_time_ms
0,1.4142135623730951,-0.0037503125209392696,LQR,3.6080999998375773
1,1.4140240216160753,-0.01126247139232554,LQR,2.586900000096648
2,1.413445516473017,-0.01880770207582083,LQR,6.899699999848963
3,1.412486120855441,-0.026389183977287598,LQR,1.142200000685989
4,1.411152478112993,-0.03401088277208051,LQR,6.822700000157056
5,0.22380975617905016,-0.009485754319246809,MPC,150.1774000007572
6,0.2469774493788875,-0.010903029440546552,MPC,150.11449999929027
7,0.26958418706360765,-0.012409882300403963,MPC,137.95459999982995
8,0.2916344449091272,-0.014005124374750322,MPC,165.33009999966453
9,0.31313265928033124,-0.0156879360561466,MPC,150.2516000000469
10,0.33408323195812745,-0.017457752982356745,MPC,192.43210000058752
11,0.35449053480844034,-0.019314198987062436,MPC,105.7794999996986
12,0.37435891439034213,-0.02125704498801917,MPC,181.88980000013544
13,0.3936926965008614,-0.023286183015811313,MPC,148.9341999995304
14,0.4124961906543482,-0.02540160945106651,MPC,117.37119999997958
15,0.4307736944946026,-0.02760341406542044,MPC,129.52340000083495
16,0.44852949813829607,-0.02989177283726363,MPC,122.97269999999116
17,0.46576788844852024,-0.032266943292844186,MPC,144.16400000027352
18,0.48249315323759673,-0.03472926158086631,MPC,131.75990000036109
19,0.4987095853985724,-0.03727914076569583,MPC,129.43280000035884
20,0.4999004175259121,-0.03991706999665379,MPC,119.25150000024587
21,0.49988647859435226,-0.04261937617769607,MPC,115.40209999930084
22,0.49987127962672706,-0.045382974187299086,MPC,113.95040000024892
23,0.4998547634390758,-0.048206819880744156,MPC,145.41900000040187
24,0.4998368719417494,-0.05109002709364896,MPC,91.70199999971373
25,0.49981754599126754,-0.054031858202479466,MPC,102.42509999989124
26,0.4997967252371914,-0.057031715786236115,MPC,123.99180000011256
27,0.4997743479642528,-0.06008913522256365,MPC,108.00859999926615
28,0.499750350929902,-0.06320377808335431,MPC,124.73950000003242
29,0.4997246691973637,-0.06637542621958925,MPC,146.73489999950107
30,0.49969723596423304,-0.0696039764445231,MPC,167.03340000003664
31,0.49966798238658794,-0.07288943573956397,MPC,186.11999999939144
32,0.4996368373985508,-0.07623191691930442,MPC,109.82940000030794
33,0.49960372752719273,-0.07963163470182266,MPC,115.95499999930325
34,0.4995685767026424,-0.0830889021381318,MPC,128.9721000002828
35,0.4995313060632319,-0.08660412736089707,MPC,143.10660000046482
36,0.4994918337554941,-0.090177810617599,MPC,127.61890000001586
37,0.4994500747288051,-0.09381054155739399,MPC,138.79550000001473
38,0.4994059405244566,-0.09750299674425111,MPC,706.2927999995736
39,0.499359339058935,-0.10125593737160377,MPC,138.2727000000159
40,0.4993101744011821,-0.10507020715591775,MPC,661.2261000000217
41,0.4992583465436147,-0.10894673038828029,MPC,181.48099999962142
42,0.4992982433124021,-0.10597515959606385,MPC,120.4013999995368
43,0.499335768781981,-0.10310215034379433,MPC,143.96209999995335
44,0.4993710690204026,-0.10032450350613309,MPC,181.23759999980393
45,0.49940428077128407,-0.09763913642503108,MPC,109.75520000010874
46,0.49943553206005614,-0.09504307907030252,MPC,557.6891000000614
47,0.4994649427598281,-0.09253347036944137,MPC,137.95930000014778
48,0.49949262511958165,-0.09010755470236442,MPC,238.44740000004094
